OpenTime,LTC-USD_Open,LTC-USD_High,LTC-USD_Low,LTC-USD_Close,LTC-USD_Volume,CloseTime,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2021-01-27 00:00:00,134.69,134.96,132.78,134.28,39343.51189,2021-01-27 00:59:59.999,5256780.3910624,11703.0,18193.87927,2431756.1708257,0.0,1366.54,1373.9,1331.39,1346.31,63145.27266,85157459.1835886,66943.0,31280.34013,42193005.0792304,0.0,32464.01,32557.29,31880.0,32335.7,3512.77489,113116385.94697309,72906.0,1770.256962,57019173.60195106,0.0
2021-01-27 01:00:00,134.26,134.7,132.36,132.54,29553.80559,2021-01-27 01:59:59.999,3932772.3174641,11198.0,14480.99391,1927272.7521373,0.0,1346.31,1349.75,1313.59,1319.53,66246.19604,87943264.003879,53305.0,31818.8548,42234148.8437619,0.0,32335.71,32457.79,31955.39,32084.6,2849.986274,91671544.50842357,60468.0,1275.84325,41033343.45955774,0.0
2021-01-27 02:00:00,132.54,133.17,131.05,131.12,19280.37169,2021-01-27 02:59:59.999,2554297.0308213,7324.0,9304.66173,1233087.4689731,0.0,1319.68,1329.73,1300.0,1301.6,42851.53587,56408438.2696408,36178.0,19047.75448,25104812.6832296,0.0,32084.88,32263.56,31758.92,31802.36,1970.049621,63250143.61413279,49155.0,892.039472,28649765.00274336,0.0
2021-01-27 03:00:00,131.11,132.0,130.74,131.54,19617.88556,2021-01-27 03:59:59.999,2577675.9809618,7975.0,9491.20924,1246886.7279271,0.0,1301.69,1310.39,1300.0,1309.0,49625.07649,64809158.9666545,34781.0,26422.55102,34507067.6910491,0.0,31802.17,31916.66,31568.28,31800.86,2041.559941,64850477.88120768,50328.0,1007.096734,31996378.96584142,0.0
2021-01-27 04:00:00,131.55,131.86,130.08,130.96,27617.92975,2021-01-27 04:59:59.999,3616141.3740427,9598.0,15323.74528,2006163.1170604,0.0,1309.01,1320.02,1297.8,1309.67,53756.92074,70249778.6361244,53338.0,21624.30975,28273836.0989837,0.0,31801.27,32030.28,31518.19,31864.36,1767.213266,56091342.52528747,47510.0,887.974747,28187968.04034165,0.0
2021-01-27 05:00:00,130.9,131.15,128.44,129.26,45837.84671,2021-01-27 05:59:59.999,5942211.3619743,15530.0,21631.62655,2803297.4684593,0.0,1309.68,1311.16,1273.13,1284.01,70109.76232,90454415.6924402,73022.0,30453.46161,39285023.2866924,0.0,31866.97,31918.71,31365.41,31503.41,2446.344934,77252810.79085217,78238.0,1264.007323,39918906.61170516,0.0
2021-01-27 06:00:00,129.26,130.59,128.64,130.4,21450.43779,2021-01-27 06:59:59.999,2780788.0273394,7805.0,9495.18461,1231274.6277235,0.0,1284.0,1294.95,1278.0,1292.27,40508.34139,52194386.0267958,59256.0,18762.29685,24178189.4562881,0.0,31503.42,31725.0,31350.0,31669.98,1968.815295,62202611.41267428,51026.0,1036.752977,32751332.23815783,0.0
2021-01-27 07:00:00,130.41,131.5,129.59,130.51,20430.58847,2021-01-27 07:59:59.999,2670930.9837295,7653.0,10041.14182,1312876.9969496,0.0,1292.26,1310.73,1285.27,1293.36,42983.01197,55908894.7885936,52998.0,22542.24057,29321174.7947119,0.0,31669.98,31890.19,31547.41,31743.33,1912.294697,60688595.08070834,45948.0,985.909669,31293675.10798831,0.0
2021-01-27 08:00:00,130.5,130.54,125.6,125.81,61642.20216,2021-01-27 08:59:59.999,7883963.9408947,18515.0,26905.96421,3445675.0768177,0.0,1293.37,1293.62,1259.67,1261.53,79130.36154,100991508.596153,58873.0,37420.41147,47786881.9602808,0.0,31743.33,31749.28,31142.33,31172.11,3088.059946,97052704.12030284,74442.0,1276.139198,40127193.2988619,0.0
2021-01-27 09:00:00,125.8,127.41,125.08,126.87,63749.68065,2021-01-27 09:59:59.999,8041548.3965503,18894.0,31514.05038,3975603.0370776,0.0,1261.53,1274.51,1250.0,1271.01,95267.48437,120075397.9667915,70039.0,47822.56366,60318777.7135432,0.0,31172.11,31290.0,30755.0,31201.05,5108.524994,158617441.9417895,103350.0,2327.341529,72306404.54268296,0.0
2021-01-27 10:00:00,126.81,127.56,125.64,126.34,30155.54693,2021-01-27 10:59:59.999,3819364.6104379,11669.0,14856.932,1882950.0205674,0.0,1271.05,1280.21,1260.17,1275.99,82957.88804,105405543.8449383,51773.0,49324.30906,62689070.8677027,0.0,31201.06,31400.0,31080.77,31376.9,2985.392328,93325548.70631929,61071.0,1637.119018,51184515.34493097,0.0
2021-01-27 11:00:00,126.34,128.06,123.88,124.04,60785.37137,2021-01-27 11:59:59.999,7644491.6098903,20088.0,28113.34088,3538670.6150616,0.0,1276.0,1302.38,1245.0,1249.02,130189.34384,165973403.5879407,98495.0,65009.35075,83027049.6293672,0.0,31376.89,31615.38,30578.94,30639.05,4942.27402,154059980.086081,97493.0,2339.211864,72987526.7924392,0.0
2021-01-27 12:00:00,124.06,125.35,123.06,124.8,66456.1709,2021-01-27 12:59:59.999,8260359.3316191,21702.0,31741.31508,3945052.6935176,0.0,1248.78,1271.57,1242.75,1264.73,119477.2332,150375510.8103878,91847.0,57417.06611,72295658.8539535,0.0,30635.74,30888.0,30336.18,30759.03,5893.376742,180578478.16806915,108428.0,2755.261215,84451897.61136676,0.0
2021-01-27 13:00:00,124.84,126.06,122.43,122.46,62226.91615,2021-01-27 13:59:59.999,7728832.4833528,18439.0,27706.95329,3442247.0518878,0.0,1264.74,1279.0,1235.22,1236.09,87615.09353,110365130.9482845,93681.0,43367.8946,54691005.4111675,0.0,30759.02,31057.0,30245.0,30275.3,4235.131879,129745802.16209073,100889.0,2030.891022,62247811.72995071,0.0
2021-01-27 14:00:00,122.44,123.3,118.13,120.73,145111.91306,2021-01-27 14:59:59.999,17470695.5717037,39428.0,68629.79412,8257288.4410002,0.0,1236.08,1249.01,1207.0,1224.82,186475.27203,228283534.3111234,122362.0,89759.00833,109942876.2021013,0.0,30275.3,30520.0,29241.72,29573.15,9777.525888,291793511.0237141,170979.0,4353.548034,129922906.2224988,0.0
2021-01-27 15:00:00,120.72,125.4,119.99,124.96,95019.45446,2021-01-27 15:59:59.999,11674476.6740231,27314.0,49533.63145,6084691.9205772,0.0,1224.82,1286.15,1216.52,1281.08,114242.72344,143035235.7741443,110818.0,64413.7142,80712915.2459705,0.0,29573.98,30464.93,29390.0,30322.61,6452.91178,193367167.81476703,123867.0,3299.962882,98903048.55543292,0.0
2021-01-27 16:00:00,124.96,126.56,123.51,123.63,85823.15081,2021-01-27 16:59:59.999,10732668.5356116,24974.0,47179.35472,5901889.2524905,0.0,1281.4,1307.76,1263.66,1267.72,135503.20708,174731120.2375728,126744.0,69110.02205,89137905.5088291,0.0,30322.59,30948.0,30216.37,30529.57,5435.252583,166467704.67978588,105703.0,2663.675095,81597631.48247285,0.0
2021-01-27 17:00:00,123.63,124.95,121.23,122.98,58917.39941,2021-01-27 17:59:59.999,7240454.0498838,22175.0,30833.37506,3791885.0036136,0.0,1267.72,1285.98,1241.21,1257.24,107533.52488,135467461.9596696,77831.0,51056.78008,64362909.8766164,0.0,30529.56,30845.81,30101.43,30514.34,4037.443676,122955580.66566654,112339.0,2006.016729,61100958.32188968,0.0
2021-01-27 18:00:00,122.96,123.24,119.91,121.36,52413.85543,2021-01-27 18:59:59.999,6370292.4920812,20937.0,24697.63085,3005044.7646798,0.0,1257.26,1260.61,1222.17,1225.55,88558.2733,109836965.1112846,62881.0,40997.05314,50871340.1510533,0.0,30508.51,30537.5,29500.0,29709.79,4509.673112,135093736.86313465,99460.0,2082.040839,62372915.77181508,0.0
2021-01-27 19:00:00,121.36,124.84,121.31,123.07,54841.63679,2021-01-27 19:59:59.999,6765571.7972197,20004.0,27043.69467,3335348.0618156,0.0,1225.55,1279.29,1224.02,1268.77,101751.8174,128235116.9061744,96487.0,54344.021,68477371.7020743,0.0,29719.93,30850.0,29712.94,30740.33,5614.820699,171246692.67050478,104151.0,2886.281681,88037680.83821066,0.0
2021-01-27 20:00:00,123.03,127.5,122.31,126.9,78791.50627,2021-01-27 20:59:59.999,9901714.9828919,25946.0,38435.61847,4830139.5070957,0.0,1268.78,1297.0,1258.64,1287.61,92315.79818,118294652.1323484,90513.0,52366.54341,67103202.8264011,0.0,30731.57,31556.0,30512.19,31520.2,5934.230908,184980691.6530521,114222.0,3501.037251,109130057.95780681,0.0
2021-01-27 21:00:00,126.92,127.29,123.18,123.8,34572.91213,2021-01-27 21:59:59.999,4322004.0884455,13753.0,16302.10752,2038187.9964101,0.0,1287.42,1291.52,1258.41,1274.54,45986.40411,58600369.3331393,41638.0,22381.37599,28526055.5749917,0.0,31520.2,31649.99,30735.01,30958.0,3361.403794,104772762.19722421,75496.0,1666.011371,51942714.87607684,0.0
2021-01-27 22:00:00,123.81,126.03,123.57,124.68,23080.62641,2021-01-27 22:59:59.999,2876210.7929289,25235.0,11725.81325,1460858.7510162,0.0,1274.65,1284.73,1236.11,1249.96,55390.23256,69556638.1870059,50373.0,22492.06821,28281890.3148044,0.0,30958.01,31051.46,30325.01,30519.93,2605.664076,79921344.45363453,68057.0,1127.336098,34605182.16323387,0.0
2021-01-27 23:00:00,124.68,124.97,121.87,122.44,43602.9614,2021-01-27 23:59:59.999,5357470.7656867,30832.0,20839.11664,2560207.0064322,0.0,1249.96,1256.41,1233.11,1239.03,58151.3086,72296515.8001692,63120.0,28514.2544,35455547.7242996,0.0,30517.37,30727.14,30084.24,30366.15,3461.236368,104978362.6751634,90427.0,1592.626678,48310796.58255527,0.0
2021-01-28 00:00:00,122.45,125.23,120.74,125.06,53388.60771,2021-01-28 00:59:59.999,6554624.8472383,29183.0,26217.49013,3217809.7471203,0.0,1238.93,1261.25,1217.23,1258.62,78171.689,96829184.8050903,80198.0,35210.69225,43649926.262643,0.0,30362.19,30728.57,29842.1,30671.86,3868.316546,117054689.37539712,81664.0,1747.839462,52915454.00577287,0.0
2021-01-28 01:00:00,125.04,125.27,122.54,125.23,36933.52288,2021-01-28 01:59:59.999,4565707.7959189,25693.0,17962.85113,2220907.5954464,0.0,1258.82,1267.55,1244.69,1265.74,42670.96275,53492282.0463285,44771.0,19017.06737,23852024.4356211,0.0,30676.28,30917.53,30370.79,30881.94,2527.680745,77365697.08750051,59183.0,1205.584187,36914442.79162532,0.0
