"st_id","st_day","st_start","st_high","st_low","st_close","st_before","st_trade","st_money"
"A005930","2018-06-22","47000","47250","46200","47250","200","10298006","481759000000"
"A005930","2018-06-25","47050","47050","46150","46650","-600","10587711","493006000000"
"A005930","2018-06-26","45900","47300","45900","47000","350","11223166","523396000000"
"A005930","2018-06-27","47450","48500","47000","47950","950","15274752","728041000000"
"A005930","2018-06-28","46850","47150","46600","46800","-1150","12784800","598306000000"
"A005930","2018-06-29","46250","47150","46200","46650","-150","14099635","657785000000"
"A005930","2018-07-02","46500","47150","45500","45550","-1100","13112253","606566000000"
"A005930","2018-07-03","45750","46450","45750","46150","600","10959655","505688000000"
"A005930","2018-07-04","46700","47050","46050","46250","100","8776763","408110000000"
"A005930","2018-07-05","46100","46550","45600","45950","-300","7039773","323468000000"
"A005930","2018-07-06","45500","45850","44650","44900","-1050","17843706","803678000000"
"A005930","2018-07-09","45500","46100","45200","45600","700","11602464","529092000000"
"A005930","2018-07-10","46200","46550","46100","46300","700","10528665","487991000000"
"A005930","2018-07-11","46400","46450","45400","46000","-300","11224077","515224000000"
"A005930","2018-07-12","45900","46250","45450","45500","-500","11828104","541037000000"
"A005930","2018-07-13","45800","46500","45750","46500","1000","11543389","533402000000"
"A005930","2018-07-16","46800","46800","46000","46050","-450","7678719","356079000000"
"A005930","2018-07-17","46150","46200","45600","45850","-200","8892953","408292000000"
"A005930","2018-07-18","46700","47200","46450","46550","700","10952645","511712000000"
"A005930","2018-07-19","47050","47200","46600","46900","350","9880128","464089000000"
"A005930","2018-07-20","47000","47600","46700","47450","550","10474547","493878000000"
"A005930","2018-07-23","47100","47200","46150","46500","-950","10823782","503027000000"
"A005930","2018-07-24","46350","46600","45950","46150","-350","8261363","381832000000"
"A005930","2018-07-25","46250","46550","45900","46150","0","7222471","333206000000"
"A005930","2018-07-26","46100","47000","46000","46900","750","7374946","344072000000"
"A005930","2018-07-27","46450","47000","46450","46900","0","4762460","222452000000"
"A005930","2018-07-30","46550","46800","46350","46500","-400","5723035","266138000000"
"A005930","2018-07-31","46200","46450","46000","46250","-250","8033607","371442000000"
"A005930","2018-08-01","46050","46850","46050","46550","300","7484499","347629000000"
"A005930","2018-08-02","46550","46800","45500","45550","-1000","8560924","393893000000"
"A005930","2018-08-03","45850","45900","45450","45750","200","8274944","377640000000"
"A005930","2018-08-06","46150","46150","45750","45800","50","6771979","311103000000"
"A005930","2018-08-07","46300","46750","45900","46700","900","9058174","421267000000"
"A005930","2018-08-08","47000","47000","46550","46800","100","6429338","300496000000"
"A005930","2018-08-09","47000","47050","46450","46900","100","12010886","562116000000"
"A005930","2018-08-10","46150","46400","44850","45400","-1500","16670643","757074000000"
"A005930","2018-08-13","44950","45100","44650","45050","-350","9803831","440075000000"
"A005930","2018-08-14","44850","45400","44850","45150","100","6409259","289643000000"
"A005930","2018-08-16","43800","44650","43700","44250","-900","10088229","445398000000"
"A005930","2018-08-17","44050","44400","44050","44100","-150","6808747","300778000000"
"A005930","2018-08-20","43500","44200","43500","43850","-250","7289124","319180000000"
"A005930","2018-08-21","43700","44900","43700","44800","950","9520270","423683000000"
"A005930","2018-08-22","45150","46200","44900","46100","1300","11641656","532916000000"
"A005930","2018-08-23","46150","46200","45700","46200","100","6730918","309343000000"
"A005930","2018-08-24","45900","46400","45550","46150","-50","6582535","302213000000"
"A005930","2018-08-27","46100","46550","46000","46300","150","5263782","243696000000"
"A005930","2018-08-28","46800","46950","46300","46550","250","7365976","343323000000"
"A005930","2018-08-29","46750","46800","46400","46800","250","5572374","259964000000"
"A005930","2018-08-30","46950","47950","46700","47650","850","12193231","580259000000"
"A005930","2018-08-31","47100","48450","47000","48450","800","13577454","652318000000"
"A005930","2018-09-03","48200","48300","47300","47450","-1000","8595084","409460000000"
"A005930","2018-09-04","47550","47800","47200","47650","200","6791255","323146000000"
"A005930","2018-09-05","47300","47450","46400","46600","-1050","9139998","429158000000"
"A005930","2018-09-06","46200","46400","45800","46100","-500","9040553","416318000000"
"A005930","2018-09-07","44500","45200","44400","44900","-1200","18285508","819216000000"
"A005930","2018-09-10","45450","45550","45000","45500","600","9979838","452310000000"
"A005930","2018-09-11","45550","45900","45050","45050","-450","9865790","447167000000"
"A005930","2018-09-12","44900","45100","44500","44550","-500","12995269","580626000000"
"A005930","2018-09-13","44550","44750","44000","44050","-500","18277942","807795000000"
"A005930","2018-09-14","45000","45850","44900","45850","1800","12446344","567635000000"
"A005930","2018-09-17","45550","45800","44900","45150","-700","8123384","367361000000"
"A005930","2018-09-18","44950","45900","44700","45500","350","9987090","454870000000"
"A005930","2018-09-19","46000","46200","45700","46150","650","9367454","430987000000"
"A005930","2018-09-20","46850","47600","46400","47250","1100","13536966","638839000000"
"A005930","2018-09-21","46550","47550","46550","47400","150","14476906","682177000000"
"A005930","2018-09-27","46950","47500","46450","47500","100","15804586","742801000000"
"A005930","2018-09-28","47250","47250","46300","46450","-1050","11270515","526128000000"
"A005930","2018-10-01","46450","46800","45800","46350","-100","6354983","293933000000"
"A005930","2018-10-02","46450","46700","45700","45700","-650","6607188","304304000000"
"A005930","2018-10-04","45150","45600","44700","44700","-1000","11865327","533018000000"
"A005930","2018-10-05","44800","45500","44550","44700","0","10544165","472928000000"
"A005930","2018-10-08","44200","45200","44200","44950","250","6759464","303660000000"
"A005930","2018-10-10","45250","45500","44500","45300","350","10341349","467913000000"
"A005930","2018-10-11","44000","44650","43100","43100","-2200","19324537","844344000000"
"A005930","2018-10-12","43200","44650","43200","44000","900","12640906","555819000000"
"A005930","2018-10-15","44050","44050","43350","43800","-200","7434522","324350000000"
"A005930","2018-10-16","43700","44150","43350","43600","-200","6825677","298410000000"
"A005930","2018-10-17","44150","44500","44000","44150","550","8306193","367501000000"
"A005930","2018-10-18","43950","44450","43700","44050","-100","8347725","368460000000"
"A005930","2018-10-19","43900","44150","43450","43900","-150","7842520","343941000000"
"A005930","2018-10-22","43450","43950","43200","43550","-350","8357648","364048000000"
"A005930","2018-10-23","43300","43450","42550","43050","-500","9531231","410359000000"
"A005930","2018-10-24","43050","43100","42250","42550","-500","13522825","575195000000"
"A005930","2018-10-25","40600","41550","40550","41000","-1550","19338170","793656000000"
"A005930","2018-10-26","41100","41300","40400","41000","0","14413864","589371000000"
"A005930","2018-10-29","40850","41950","40550","41400","400","14460521","597886000000"
"A005930","2018-10-30","41400","43000","41000","42350","950","14205190","604196000000"
"A005930","2018-10-31","42900","43350","41700","42400","50","17621480","747033000000"
"A005930","2018-11-01","42450","42950","42150","42150","-250","13423132","570459000000"
"A005930","2018-11-02","43050","44250","42800","44150","2000","16517112","716243000000"
"A005930","2018-11-05","43750","43800","42900","43800","-350","9426777","409145000000"
"A005930","2018-11-06","43750","43800","42950","43750","-50","7713625","335006000000"
"A005930","2018-11-07","43600","44500","43400","44000","250","11553998","508909000000"
"A005930","2018-11-08","44900","45050","44050","44050","50","12617397","562057000000"
"A005930","2018-11-09","44450","44850","43900","44300","250","7318500","324257000000"
"A005930","2018-11-12","43850","45250","43700","45200","900","8552566","383763000000"
"A005930","2018-11-13","43900","44500","43400","44500","-700","9311126","410327000000"
"A005930","2018-11-14","44500","44500","43800","44100","-400","6783344","298840000000"
"A005930","2018-11-15","44050","44350","43500","44250","150","5864067","258043000000"
"A005930","2018-11-16","44600","44750","43700","44000","-250","7777124","343559000000"
"A005930","2018-11-19","44050","44250","43450","43650","-350","7538720","329485000000"
"A005930","2018-11-20","42450","43000","42100","42800","-850","9420664","402663000000"
"A005930","2018-11-21","41800","42300","41800","42100","-700","10769589","452949000000"
"A005930","2018-11-22","42000","42650","42000","42450","350","5970796","253026000000"
"A005930","2018-11-23","42450","42600","41900","42400","-50","5192638","219016000000"
"A005930","2018-11-26","42150","42800","42100","42600","200","6613009","281293000000"
"A005930","2018-11-27","42900","43100","42500","43050","450","8367091","358411000000"
"A005930","2018-11-28","42800","43200","42750","43150","100","6943099","298451000000"
"A005930","2018-11-29","43850","43850","42900","43150","0","8473511","367283000000"
"A005930","2018-11-30","43450","44000","41750","41850","-1300","19775519","838775000000"
"A005930","2018-12-03","42750","43400","42400","43250","1400","12110702","521014000000"
"A005930","2018-12-04","42650","42900","41900","42150","-1100","14347746","605987000000"
"A005930","2018-12-05","40900","41750","40850","41450","-700","12631983","522455000000"
"A005930","2018-12-06","40600","41100","40450","40500","-950","14251826","579350000000"
"A005930","2018-12-07","40900","41400","40850","40950","450","11433083","469836000000"
"A005930","2018-12-10","40450","40650","40000","40200","-750","14892263","598917000000"
"A005930","2018-12-11","40600","40700","40200","40250","50","10638766","429054000000"
"A005930","2018-12-12","40250","40700","40150","40450","200","12024279","486186000000"
"A005930","2018-12-13","40650","40750","40000","40000","-450","26254646","1054673000000"
"A005930","2018-12-14","40200","40200","38700","38950","-1050","19671783","768559000000"
"A005930","2018-12-17","38650","39600","38650","39150","200","11532968","452403000000"
"A005930","2018-12-18","38300","39200","38300","38900","-250","11042101","429736000000"
"A005930","2018-12-19","38900","39350","38850","39100","200","9942037","388002000000"
"A005930","2018-12-20","38600","39100","38500","38650","-450","11937617","462010000000"
"A005930","2018-12-21","38200","38650","38100","38650","0","14947080","575189000000"
"A005930","2018-12-24","38500","39050","38300","38800","150","9729530","376007000000"
"A005930","2018-12-26","38400","38750","38300","38350","-450","12707675","488546000000"
"A005930","2018-12-27","38700","38800","38100","38250","-100","10510643","403521000000"
"A005930","2018-12-28","38250","38900","38200","38700","450","9900267","382576000000"
"A005930","2019-01-02","39400","39400","38550","38750","50","7847664","304683000000"
"A005930","2019-01-03","38300","38550","37450","37600","-1150","12471493","472967000000"
"A005930","2019-01-04","37450","37600","36850","37450","-150","14108958","525403000000"
"A005930","2019-01-07","38000","38900","37800","38750","1300","12748997","490833000000"
"A005930","2019-01-08","38000","39200","37950","38100","-650","12756554","491578000000"
"A005930","2019-01-09","38650","39600","38300","39600","1500","17452708","683004000000"
"A005930","2019-01-10","40000","40150","39600","39800","200","14731699","587063000000"
"A005930","2019-01-11","40350","40550","39950","40500","700","11661063","470286000000"
"A005930","2019-01-14","40450","40700","39850","40050","-450","11984996","481959000000"
"A005930","2019-01-15","40050","41100","39850","41100","1050","11492756","468238000000"
"A005930","2019-01-16","41150","41450","40700","41450","350","8491595","349968000000"
"A005930","2019-01-17","41700","42100","41450","41950","500","11736903","491377000000"
"A005930","2019-01-18","42000","42400","41950","42300","350","11029256","465779000000"
"A005930","2019-01-21","42700","42750","41900","42750","450","11355701","482176000000"
"A005930","2019-01-22","42750","42850","41850","42150","-600","9964356","420047000000"
"A005930","2019-01-23","41350","42250","41350","42000","-150","11071079","463297000000"
"A005930","2019-01-24","43050","43100","42350","43050","1050","14747623","632002000000"
"A005930","2019-01-25","44300","44750","43750","44750","1700","22789395","1009868000000"
"A005930","2019-01-28","45000","45500","44600","45050","300","17998914","812166000000"
"A005930","2019-01-29","45050","45500","44350","45500","450","16215017","729601000000"
"A005930","2019-01-30","44800","46400","44800","46400","900","17505980","802320000000"
"A005930","2019-01-31","46650","47050","46150","46150","-250","21621145","1007418000000"
"A005930","2019-02-01","46650","46950","46250","46350","200","13832454","644180000000"
"A005930","2019-02-07","46800","47100","46200","46200","-150","15872001","739207000000"
"A005930","2019-02-08","45700","45700","44650","44800","-1400","12689196","571011000000"
"A005930","2019-02-11","44500","45000","44250","45000","200","11125044","496106000000"
"A005930","2019-02-12","44650","46250","44650","46050","1050","13184367","604234000000"
"A005930","2019-02-13","46400","46700","46000","46200","150","11299738","522769000000"
"A005930","2019-02-14","46600","47500","46150","47500","1300","17259341","808870000000"
"A005930","2019-02-15","46750","46850","45650","46050","-1450","10554643","487928000000"
"A005930","2019-02-18","46500","46850","45850","46200","150","8183728","379386000000"
"A005930","2019-02-19","45850","46150","45450","45950","-250","6741395","309244000000"
"A005930","2019-02-20","46750","47100","46500","46900","950","11506720","538847000000"
"A005930","2019-02-21","46500","47200","46200","46950","50","8694009","406412000000"
"A005930","2019-02-22","46500","47150","46450","47150","200","6895772","322775000000"
"A005930","2019-02-25","47400","47550","47050","47350","200","7484716","354012000000"
"A005930","2019-02-26","47350","47450","46500","46750","-600","7985547","374675000000"
"A005930","2019-02-27","47000","47250","46750","46750","0","8045211","377808000000"
"A005930","2019-02-28","46400","46500","45100","45100","-1650","23569321","1073229000000"
"A005930","2019-03-04","46000","46100","44800","44850","-250","12926539","585692000000"
"A005930","2019-03-05","44600","45100","44150","44250","-600","10612405","471638000000"
"A005930","2019-03-06","44000","44300","43700","44000","-250","10202544","447977000000"
"A005930","2019-03-07","43400","44950","43400","44450","450","11049749","490122000000"
"A005930","2019-03-08","44450","44800","43800","43800","-650","7729069","340351000000"
"A005930","2019-03-11","44400","44450","43650","43650","-150","10717408","471358000000"
"A005930","2019-03-12","44300","44950","44150","44650","1000","11431977","508997000000"
